Υλικό (διαγράφεται)
Κολοκυθοκεφτέδες
Κοτόπουλο στήθος
Κουακεροπιτάκια
"Κουακερόπιτα με γάλα αμυγδάλου, βρώμη, κατσικίσιο τυρί, καρότο, κολοκύθι και πάπρικα"
Κουβερτούρα
"Κουνουπίδι καπαμά με σάλτσα ντομάτας, κολοκύθι και μυρωδικά"
Κρέμα cheesecake
Κρέμα βαλσάμικο
Κρέμα λεμόνι
Κρέμα μελιτζάνας
Κρέμα φάβας
Κρεμμύδι ξερό
Κρεμμύδι πίκλα
Κριθαράκι ολικής
"Κριθαράκι ολικής με θαλασσινά, ντομάτα και μυρωδικά"
"Κριθαράκι ολικής με πολύχρωμη κινόα, καρότο, κολοκύθι και κουκουνάρι"
Κόκκινη σάλτσα
Κόκκινο κρεμμύδι
Κόκκινο λάχανο
Κόκκορας κρασάτος
Λαδολέμονο
"Λαζάνια με κολοκύθι, μελιτζάνα, πιπεριές, μανιτάρια, σπανάκι, ρικότα, μοτσαρέλα, γραβιέρα light και φρέσκο βασιλικό"
"Λαχανικά, ωμά"
Λαχανοντολμάδες με κιμά κοτόπουλου
Λαχανοντολμάδες με κιμά μανιταριών
Λαχανόρυζο
Λευκά φασόλια
Λιγκουίνι ολικής
Μango puree
Μακαρόνι ολικής
Μανιτάρια
Μανιτάρια στιφάδο
Μανιτάρια ψητά
Μαρμελάδα βύσσινο
Μαρμελάδα φράουλα
Μαύρο ρύζι
"Μεξικάνικη ομελέτα με chorizo, cheddar light, καλαμπόκι, πιπεριές, μαύρα φασόλια, αβοκάντο, κόλιανδρο, κρεμμύδι, κύμινο, πάπρικα και πιπεριά jalapeno"
Μοσχαρίσιος κιμάς
Μουσακάς με γλυκοπατάτες και μανιτάρια
Μουσακάς με ραγού μανιταριών
Μπάρα πρωτεΐνης με μαύρη σοκολάτα
Μπαλίτσες ανθότυρου
"Μπατζίνα με κολοκύθι, φέτα light και μυρωδικά"
Μπιφτέκι γαλοπούλας
Μπιφτέκι μοσχαρίσιο
Μπούτι κοτόπουλο
Μπριάμ
Μπριζολάκια
Μπρόκολο ατμού
Μυρωδικά
Μύρτιλα
Ντιπάκι μελιού
Ντιπάκι σφενδάμου
Ξηροί καρποί
Ξινόμηλο
Ομελέτα
"Ομελέτα με βασιλομανίταρα, portobello, champignon, κρεμμύδι, σκόρδο, κίτρινο τυρί light, γάλα light, μαϊντανό και σχοινόπρασο"
"Ομελέτα με καπνιστό σολομό, αβοκάντο, ντοματίνια, γάλα light, cheddar light, άνηθο και σχοινόπρασο"
"Ομελέτα φούρνου με γλυκοπατάτες, ντοματίνια, σπανάκι, κρεμμύδι, φέτα light, σχοινόπρασο και μαϊντανό"
Πάστα ελιάς
Πέννες ολικής
Πίκλα κόκκινο λάχανο
Πίτα ολικής
Παντζάρι spread
Παξιμαδάκια χαρουπιού
Παστίτσιο
Πατάτες βραστές
Πατάτες φούρνου
Πιπεριά Φλωρίνης
Πιπεριές
Πουρές γλυκοπατάτας
Πουρές γλυκοπατάτας με yuzu
Πουρές καρότου
Πουρές πατάτας
Πουρές πατάτας με λάδι τρούφας
"Πουρές πατάτας, αρακά και σχοινόπρασο"
Πουρές σελινόριζας
Πράσινη σαλάτα
Πράσινο μήλο
Ραπανάκια
Ρεβίθια κοκκινιστά
Ρεβίθια σούπα
Ρεβίθια φούρνου
Ρύζι basmati
Ρύζι jasmine
Σάλτσα
Σάλτσα bolognese από φακή
Σάλτσα αυγολέμονο
Σάλτσα γλυκόξινη
Σάλτσα κάρυ με λαχανικά
Σάλτσα λευκού κρασιού
Σάλτσα μουστάρδας
Σάλτσα σόγια-μέλι-τζίντζερ
Σάλτσα τυρί κρέμα light
Σάλτσα φυστικοβούτυρο-σόγια
Σολομός ψητός
Σουπιές κοκκινιστές με σπανάκι
Σουτζουκάκια
Σούπα
Σούπα με μοσχάρι
Σπανακόρυζο
Σταφίδες
Στιφάδο
Σύκα αποξηραμένα
Τeriyaki sauce
Ταμπουλέ
"Τηγανητό ρύζι με φρέσκο κρεμμύδι, καρότο, κολοκύθι, κόκκινο λάχανο, κινέζικο λάχανο, μανιτάρια, αυγό και σόγια"
Τριμμένη φέτα light
Τριμμένο αμύγδαλο
Τριμμένο τυρί light
Τσιπούρα ψητή
Φακές
Φακές beluga
Φακές σούπα
Φασολάδα
Φιλέτο κοτόπουλο
Φιλέτο μοσχάρι
Φιλέτο μοσχαρίσιο
Φιλέτο μπακαλιάρου
Φιστίκι Αιγίνης
Φιστίκια
Φουντούκια
Φράουλες
Φρέσκο κρεμμύδι
Φρουτοσαλάτα
Φρούτα
Φρούτο εποχής
Φυστίκι αιγίνης
Φύλλα κάπαρης
Χαλούμι
"Χορτόπιτα με φύλλο ολικής, χόρτα επόχης, πράσο, φέτα light, φρέσκο κρεμμύδι και μυρωδικά"
Χταπόδι κοκκινιστό με κοφτό μακαρονάκι ολικής
Χυλοπιτάκι ολικής
Χυμός πορτοκάλι
Χόρτα εποχής
Ψάρι ψητό
Ψητά καρότα
Ψητά κολοκυθάκια
Ψητά λαχανικά
Ψητά μανιτάρια
Ψητά παντζάρια
Ψητή γλυκοπατάτα
Ψητή πιπεριά
Ψωμί ολικής
