Κωδικός,Πιάτο,Ποσότητα,Παλιά τιμή,Νέα τιμή,Διαφορά
274-8,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (450γρ), Φέτα light (90γρ)","8,50€","8,90€","0,40€"
275-1,"Πράσινη σαλάτα με μπαλίτσες ανθότυρου, καρύδια και dressing σύκο","Μπαλίτσες ανθότυρου (30γρ), Dressing (20γρ)","7,90€","7,50€","-0,40€"
275-2,"Πράσινη σαλάτα με μπαλίτσες ανθότυρου, καρύδια και dressing σύκο","Μπαλίτσες ανθότυρου (60γρ), Dressing (20γρ)","8,90€","7,90€","-1,00€"
275-3,"Πράσινη σαλάτα με μπαλίτσες ανθότυρου, καρύδια και dressing σύκο","Μπαλίτσες ανθότυρου (90γρ), Dressing (20γρ)","9,90€","8,50€","-1,40€"
280-1,"Σαλάτα με baby σπανάκι με αμύγδαλο, ρόδι και φέτα light","Ρόδι (25γρ), Φέτα light (30γρ), Dressing (20γρ)","8,90€","9,90€","1,00€"
280-2,"Σαλάτα με baby σπανάκι με αμύγδαλο, ρόδι και φέτα light","Ρόδι (25γρ), Φέτα light (60γρ), Dressing (20γρ)","9,90€","10,90€","1,00€"
280-3,"Σαλάτα με baby σπανάκι με αμύγδαλο, ρόδι και φέτα light","Ρόδι (25γρ), Φέτα light (90γρ), Dressing (20γρ)","10,90€","11,90€","1,00€"
287-2,Wrap ολικής με κοτόπουλο και spicy σάλτσα φυστικοβούτυρου,"Wrap ολικής (90γρ), Φιλέτο κοτόπουλο (90γρ), Σάλτσα φυστικοβούτυρο (30γρ)","6,50€","6,90€","0,40€"
293-1,"Μοσχαρόσουπα με πατάτα, σελινόριζα και μανιτάρια","Φιλέτο μοσχάρι (120γρ), Σούπα (250γρ)","9,90€","11,90€","2,00€"
293-2,"Μοσχαρόσουπα με πατάτα, σελινόριζα και μανιτάρια","Φιλέτο μοσχάρι (150γρ), Σούπα (250γρ)","10,90€","12,90€","2,00€"
293-3,"Μοσχαρόσουπα με πατάτα, σελινόριζα και μανιτάρια","Φιλέτο μοσχάρι (180γρ), Σούπα (250γρ)","11,90€","13,90€","2,00€"
117-10,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (210γρ), Ρύζι basmati (120γρ)","11,50€","11,40€","-0,10€"
117-12,"Γλυκόξυνο κοτόπουλο με ανανά, πιπεριές και ρύζι basmati","Γλυκόξινο κοτόπουλο (210γρ), Ρύζι basmati (240γρ)","12,50€","12,40€","-0,10€"
129-10,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (210γρ), Άγριο ρύζι (120γρ)","11,50€","11,40€","-0,10€"
129-12,Φιλέτο κοτόπουλο με άγριο ρύζι και σάλτσα μουστάρδας,"Φιλέτο κοτόπουλο (210γρ), Άγριο ρύζι (240γρ)","12,50€","12,40€","-0,10€"
135-10,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (210γρ), Άγριο ρύζι (120γρ)","13,90€","12,90€","-1,00€"
135-11,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (210γρ), Άγριο ρύζι (180γρ)","13,90€","13,40€","-0,50€"
135-12,Ψαρονέφρι με άγριο ρύζι και σάλτσα σόγια-μέλι-τζίντζερ,"Ψαρονέφρι (210γρ), Άγριο ρύζι (240γρ)","14,50€","13,90€","-0,60€"
136-10,Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας,"Κεφτεδάκια (240γρ), Πατάτες φούρνου (80γρ)","11,50€","10,90€","-0,60€"
136-11,Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας,"Κεφτεδάκια (240γρ), Πατάτες φούρνου (160γρ)","11,90€","11,40€","-0,50€"
136-12,Μοσχαρίσια κεφτεδάκια με πατάτες φούρνου και σάλτσα μουστάρδας,"Κεφτεδάκια (240γρ), Πατάτες φούρνου (240γρ)","12,50€","11,90€","-0,60€"
140-10,Μπιφτέκι μοσχαρίσιο με πουρέ γλυκοπατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (120γρ)","12,50€","11,90€","-0,60€"
140-11,Μπιφτέκι μοσχαρίσιο με πουρέ γλυκοπατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (180γρ)","12,90€","12,40€","-0,50€"
140-12,Μπιφτέκι μοσχαρίσιο με πουρέ γλυκοπατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (220γρ)","13,50€","12,90€","-0,60€"
141-10,Μπιφτέκι μοσχαρίσιο με πουρέ καρότου και αμπελοφάσουλα,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές καρότου (120γρ)","12,50€","11,90€","-0,60€"
141-11,Μπιφτέκι μοσχαρίσιο με πουρέ καρότου και αμπελοφάσουλα,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές καρότου (180γρ)","12,90€","12,40€","-0,50€"
141-12,Μπιφτέκι μοσχαρίσιο με πουρέ καρότου και αμπελοφάσουλα,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές καρότου (220γρ)","13,50€","12,90€","-0,60€"
142-10,Μπιφτέκι μοσχαρίσιο με ρύζι basmati και ψητά καρότα,"Μπιφτέκι μοσχαρίσιο (210γρ), Ρύζι basmati (120γρ)","12,50€","11,90€","-0,60€"
142-11,Μπιφτέκι μοσχαρίσιο με ρύζι basmati και ψητά καρότα,"Μπιφτέκι μοσχαρίσιο (210γρ), Ρύζι basmati (180γρ)","12,90€","12,40€","-0,50€"
142-12,Μπιφτέκι μοσχαρίσιο με ρύζι basmati και ψητά καρότα,"Μπιφτέκι μοσχαρίσιο (210γρ), Ρύζι basmati (240γρ)","13,50€","12,90€","-0,60€"
143-10,Μπιφτέκι μοσχαρίσιο με πουρέ πατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές πατάτας (120γρ)","12,50€","11,90€","-0,60€"
143-11,Μπιφτέκι μοσχαρίσιο με πουρέ πατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές πατάτας (150γρ)","12,90€","12,40€","-0,50€"
143-12,Μπιφτέκι μοσχαρίσιο με πουρέ πατάτας,"Μπιφτέκι μοσχαρίσιο (210γρ), Πουρές πατάτας (200γρ)","13,50€","12,90€","-0,60€"
144-10,Φιλέτο μοσχαρίσιο με πουρέ σελινόριζας και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές σελινόριζας (180γρ)","20,50€","24,90€","4,40€"
144-11,Φιλέτο μοσχαρίσιο με πουρέ σελινόριζας και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές σελινόριζας (240γρ)","20,90€","25,50€","4,60€"
144-12,Φιλέτο μοσχαρίσιο με πουρέ σελινόριζας και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές σελινόριζας (280γρ)","21,50€","25,90€","4,40€"
155-10,Φιλέτο στήθος κοτόπουλο ψητό με πουρέ γλυκοπατάτας,"Φιλέτο κοτόπουλο (210γρ), Πουρές γλυκοπατάτας (120γρ)","11,50€","11,40€","-0,10€"
155-12,Φιλέτο στήθος κοτόπουλο ψητό με πουρέ γλυκοπατάτας,"Φιλέτο κοτόπουλο (210γρ), Πουρές γλυκοπατάτας (220γρ)","12,50€","12,40€","-0,10€"
157-10,Φιλέτο στήθος κοτόπουλο με ρύζι basmati και ψητά λαχανικά,"Φιλέτο κοτόπουλο (210γρ), Ρύζι basmati (120γρ)","11,50€","11,40€","-0,10€"
157-12,Φιλέτο στήθος κοτόπουλο με ρύζι basmati και ψητά λαχανικά,"Φιλέτο κοτόπουλο (210γρ), Ρύζι basmati (240γρ)","12,50€","12,40€","-0,10€"
159-10,Φιλέτο στήθος κοτόπουλο με ψητή γλυκοπατάτα,"Φιλέτο κοτόπουλο (210γρ), Ψητή γλυκοπατάτα (150γρ)","11,50€","11,90€","0,40€"
159-11,Φιλέτο στήθος κοτόπουλο με ψητή γλυκοπατάτα,"Φιλέτο κοτόπουλο (210γρ), Ψητή γλυκοπατάτα (200γρ)","11,90€","12,40€","0,50€"
159-12,Φιλέτο στήθος κοτόπουλο με ψητή γλυκοπατάτα,"Φιλέτο κοτόπουλο (210γρ), Ψητή γλυκοπατάτα (250γρ)","12,50€","12,90€","0,40€"
160-10,Μπιφτέκι γαλοπούλας με ρύζι basmati και ψητά λαχανικά,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (120γρ)","12,50€","11,40€","-1,10€"
160-11,Μπιφτέκι γαλοπούλας με ρύζι basmati και ψητά λαχανικά,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (180γρ)","12,90€","11,90€","-1,00€"
160-12,Μπιφτέκι γαλοπούλας με ρύζι basmati και ψητά λαχανικά,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (240γρ)","13,50€","12,40€","-1,10€"
163-10,Μπιφτέκι γαλοπούλας με πουρέ γλυκοπατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές γλυκοπατάτας (120γρ)","12,50€","11,40€","-1,10€"
163-11,Μπιφτέκι γαλοπούλας με πουρέ γλυκοπατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές γλυκοπατάτας (180γρ)","12,90€","11,90€","-1,00€"
163-12,Μπιφτέκι γαλοπούλας με πουρέ γλυκοπατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές γλυκοπατάτας (220γρ)","13,50€","12,40€","-1,10€"
164-10,Μπιφτέκι γαλοπούλας με άγριο ρύζι και αμπελοφάσουλα,"Μπιφτέκι γαλοπούλας (210γρ), Άγριο ρύζι (120γρ)","12,50€","11,40€","-1,10€"
164-11,Μπιφτέκι γαλοπούλας με άγριο ρύζι και αμπελοφάσουλα,"Μπιφτέκι γαλοπούλας (210γρ), Άγριο ρύζι (180γρ)","12,90€","11,90€","-1,00€"
164-12,Μπιφτέκι γαλοπούλας με άγριο ρύζι και αμπελοφάσουλα,"Μπιφτέκι γαλοπούλας (210γρ), Άγριο ρύζι (240γρ)","13,50€","12,40€","-1,10€"
165-10,Μπιφτέκι γαλοπούλας με ρύζι basmati και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (120γρ)","12,50€","11,40€","-1,10€"
165-11,Μπιφτέκι γαλοπούλας με ρύζι basmati και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (180γρ)","12,90€","11,90€","-1,00€"
165-12,Μπιφτέκι γαλοπούλας με ρύζι basmati και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ρύζι basmati (240γρ)","13,50€","12,40€","-1,10€"
166-10,Μπιφτέκι γαλοπούλας με γλυκοπατάτα και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ψητή γλυκοπατάτα (150γρ)","12,50€","11,40€","-1,10€"
166-11,Μπιφτέκι γαλοπούλας με γλυκοπατάτα και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ψητή γλυκοπατάτα (200γρ)","12,90€","11,90€","-1,00€"
166-12,Μπιφτέκι γαλοπούλας με γλυκοπατάτα και κρέμα μελιτζάνας,"Μπιφτέκι γαλοπούλας (210γρ), Ψητή γλυκοπατάτα (250γρ)","13,50€","12,40€","-1,10€"
167-10,Μπιφτέκι γαλοπούλας με πουρέ καρότου,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές καρότου (120γρ)","12,50€","11,40€","-1,10€"
167-11,Μπιφτέκι γαλοπούλας με πουρέ καρότου,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές καρότου (180γρ)","12,90€","11,90€","-1,00€"
167-12,Μπιφτέκι γαλοπούλας με πουρέ καρότου,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές καρότου (220γρ)","13,50€","12,40€","-1,10€"
169-10,Μπιφτέκι γαλοπούλας με πουρέ πατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές πατάτας (120γρ)","12,50€","11,40€","-1,10€"
169-11,Μπιφτέκι γαλοπούλας με πουρέ πατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές πατάτας (150γρ)","12,90€","11,90€","-1,00€"
169-12,Μπιφτέκι γαλοπούλας με πουρέ πατάτας,"Μπιφτέκι γαλοπούλας (210γρ), Πουρές πατάτας (200γρ)","13,50€","12,40€","-1,10€"
170-10,Μπιφτέκι γαλοπούλας με πατάτες φούρνου και ψητά καρότα,"Μπιφτέκι γαλοπούλας (210γρ), Πατάτες φούρνου (80γρ)","12,50€","11,40€","-1,10€"
170-11,Μπιφτέκι γαλοπούλας με πατάτες φούρνου και ψητά καρότα,"Μπιφτέκι γαλοπούλας (210γρ), Πατάτες φούρνου (160γρ)","12,90€","11,90€","-1,00€"
170-12,Μπιφτέκι γαλοπούλας με πατάτες φούρνου και ψητά καρότα,"Μπιφτέκι γαλοπούλας (210γρ), Πατάτες φούρνου (240γρ)","13,50€","12,40€","-1,10€"
171-10,Φιλέτο στήθος κοτόπουλο ψητό με πουρέ πατάτας,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας (120γρ)","12,50€","11,40€","-1,10€"
171-11,Φιλέτο στήθος κοτόπουλο ψητό με πουρέ πατάτας,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας (150γρ)","12,90€","11,90€","-1,00€"
171-12,Φιλέτο στήθος κοτόπουλο ψητό με πουρέ πατάτας,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας (200γρ)","13,50€","12,40€","-1,10€"
172-10,Φιλέτο στήθος κοτόπουλο με μανιτάρια και άγριο ρύζι,"Φιλέτο κοτόπουλο (210γρ), Άγριο ρύζι (120γρ)","11,50€","11,90€","0,40€"
172-11,Φιλέτο στήθος κοτόπουλο με μανιτάρια και άγριο ρύζι,"Φιλέτο κοτόπουλο (210γρ), Άγριο ρύζι (180γρ)","11,90€","12,40€","0,50€"
172-12,Φιλέτο στήθος κοτόπουλο με μανιτάρια και άγριο ρύζι,"Φιλέτο κοτόπουλο (210γρ), Άγριο ρύζι (240γρ)","12,50€","12,90€","0,40€"
173-10,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι","Φιλέτο κοτόπουλο (210γρ), Πλιγούρι (120γρ)","11,50€","11,40€","-0,10€"
173-12,"Caprese με φιλέτο κοτόπουλο, μοτσαρέλα και πλιγούρι","Φιλέτο κοτόπουλο (210γρ), Πλιγούρι (240γρ)","12,50€","12,40€","-0,10€"
174-10,Φιλέτο μπούτι κοτόπουλο με άγριο ρύζι και teriyaki sauce,"Μπούτι κοτόπουλο (210γρ), Άγριο ρύζι (120γρ)","12,50€","11,90€","-0,60€"
174-11,Φιλέτο μπούτι κοτόπουλο με άγριο ρύζι και teriyaki sauce,"Μπούτι κοτόπουλο (210γρ), Άγριο ρύζι (180γρ)","12,90€","12,40€","-0,50€"
174-12,Φιλέτο μπούτι κοτόπουλο με άγριο ρύζι και teriyaki sauce,"Μπούτι κοτόπουλο (210γρ), Άγριο ρύζι (240γρ)","13,50€","12,90€","-0,60€"
175-10,Μπούτι κοτόπουλο Tikka Masala με ρύζι basmati,"Μπούτι κοτόπουλο (210γρ), Ρύζι basmati (120γρ)","12,50€","10,90€","-1,60€"
175-11,Μπούτι κοτόπουλο Tikka Masala με ρύζι basmati,"Μπούτι κοτόπουλο (210γρ), Ρύζι basmati (180γρ)","12,90€","11,40€","-1,50€"
175-12,Μπούτι κοτόπουλο Tikka Masala με ρύζι basmati,"Μπούτι κοτόπουλο (210γρ), Ρύζι basmati (240γρ)","13,50€","11,90€","-1,60€"
176-11,Φιλέτο μπούτι κοτόπουλο με ρύζι basmati και κάρυ,"Μπούτι κοτόπουλο (210γρ), Ρύζι basmati (180γρ)","12,50€","12,40€","-0,10€"
177-10,Φιλέτο στήθος κοτόπουλο με πατάτες φούρνου,"Φιλέτο κοτόπουλο (210γρ), Πατάτες φούρνου (80γρ)","12,50€","11,40€","-1,10€"
177-11,Φιλέτο στήθος κοτόπουλο με πατάτες φούρνου,"Φιλέτο κοτόπουλο (210γρ), Πατάτες φούρνου (160γρ)","12,90€","11,90€","-1,00€"
177-12,Φιλέτο στήθος κοτόπουλο με πατάτες φούρνου,"Φιλέτο κοτόπουλο (210γρ), Πατάτες φούρνου (240γρ)","13,50€","12,40€","-1,10€"
192-10,Φασολάκια με κοκκινιστό μοσχαράκι,"Φιλέτο μοσχάρι (210γρ), Φασολάκια (180γρ)","11,50€","12,40€","0,90€"
192-11,Φασολάκια με κοκκινιστό μοσχαράκι,"Φιλέτο μοσχάρι (210γρ), Φασολάκια (220γρ)","11,90€","12,90€","1,00€"
192-12,Φασολάκια με κοκκινιστό μοσχαράκι,"Φιλέτο μοσχάρι (210γρ), Φασολάκια (280γρ)","12,50€","13,40€","0,90€"
194-10,Σουτζουκάκια φούρνου με πουρέ καρότου,"Σουτζουκάκια (210γρ), Πουρές καρότου (120γρ)","11,50€","10,90€","-0,60€"
194-11,Σουτζουκάκια φούρνου με πουρέ καρότου,"Σουτζουκάκια (210γρ), Πουρές καρότου (180γρ)","11,90€","11,50€","-0,40€"
194-12,Σουτζουκάκια φούρνου με πουρέ καρότου,"Σουτζουκάκια (210γρ), Πουρές καρότου (220γρ)","12,50€","11,90€","-0,60€"
195-10,Σουτζουκάκια φούρνου με άγριο ρύζι,"Σουτζουκάκια (210γρ), Άγριο ρύζι (120γρ)","11,50€","10,90€","-0,60€"
195-11,Σουτζουκάκια φούρνου με άγριο ρύζι,"Σουτζουκάκια (210γρ), Άγριο ρύζι (180γρ)","11,90€","11,50€","-0,40€"
195-12,Σουτζουκάκια φούρνου με άγριο ρύζι,"Σουτζουκάκια (210γρ), Άγριο ρύζι (240γρ)","12,50€","11,90€","-0,60€"
201-10,Ψαρονέφρι με δαμάσκηνα και άγριο ρύζι,"Ψαρονέφρι (210γρ), Άγριο ρύζι (120γρ)","13,50€","12,90€","-0,60€"
201-11,Ψαρονέφρι με δαμάσκηνα και άγριο ρύζι,"Ψαρονέφρι (210γρ), Άγριο ρύζι (180γρ)","13,90€","13,40€","-0,50€"
201-12,Ψαρονέφρι με δαμάσκηνα και άγριο ρύζι,"Ψαρονέφρι (210γρ), Άγριο ρύζι (240γρ)","14,50€","13,90€","-0,60€"
202-10,Ψαρονέφρι με δαμάσκηνα και πουρέ πατάτας,"Ψαρονέφρι (210γρ), Πουρές πατάτας (120γρ)","13,50€","12,90€","-0,60€"
202-11,Ψαρονέφρι με δαμάσκηνα και πουρέ πατάτας,"Ψαρονέφρι (210γρ), Πουρές πατάτας (150γρ)","13,90€","13,40€","-0,50€"
202-12,Ψαρονέφρι με δαμάσκηνα και πουρέ πατάτας,"Ψαρονέφρι (210γρ), Πουρές πατάτας (200γρ)","14,50€","13,90€","-0,60€"
209-10,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές πατάτας (120γρ)","20,90€","24,90€","4,00€"
209-11,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές πατάτας (150γρ)","21,50€","25,50€","4,00€"
209-12,Φιλέτο μοσχαρίσιο με πουρέ πατάτας και μανιτάρια,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές πατάτας (200γρ)","21,90€","25,90€","4,00€"
210-10,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (210γρ), Πατάτες φούρνου (80γρ)","13,90€","13,40€","-0,50€"
210-12,"Ψαρονέφρι με πατάτες φούρνου, καρότα και gravy sauce","Ψαρονέφρι (210γρ), Πατάτες φούρνου (240γρ)","14,50€","14,40€","-0,10€"
215-10,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πατάτες φούρνου (80γρ)","20,90€","24,90€","4,00€"
215-11,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πατάτες φούρνου (160γρ)","21,50€","25,50€","4,00€"
215-12,Φιλέτο μοσχαρίσιο με πατάτες φούρνου και gravy sauce,"Φιλέτο μοσχαρίσιο (210γρ), Πατάτες φούρνου (240γρ)","21,90€","25,90€","4,00€"
216-10,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (120γρ)","20,90€","24,90€","4,00€"
216-11,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (180γρ)","21,50€","25,50€","4,00€"
216-12,Φιλέτο μοσχαρίσιο με πουρέ γλυκοπατάτας,"Φιλέτο μοσχαρίσιο (210γρ), Πουρές γλυκοπατάτας (220γρ)","21,90€","25,90€","4,00€"
218-10,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (210γρ), Πουρές σελινόριζας (180γρ)","13,90€","12,90€","-1,00€"
218-11,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (210γρ), Πουρές σελινόριζας (240γρ)","13,90€","13,40€","-0,50€"
218-12,Ψαρονέφρι με πουρέ σελινόριζας,"Ψαρονέφρι (210γρ), Πουρές σελινόριζας (280γρ)","14,50€","13,90€","-0,60€"
247-10,Ρεβίθια φούρνου κοκκινιστά με φέτα light,"Ρεβίθια φούρνου (500γρ), Φέτα light (90γρ)","8,90€","9,90€","1,00€"
249-10,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (210γρ), Άγριο ρύζι (120γρ)","10,90€","11,90€","1,00€"
249-11,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (210γρ), Άγριο ρύζι (180γρ)","11,50€","12,40€","0,90€"
249-12,Φιλέτο μπούτι κοτόπουλο λεμονάτο και άγριο ρύζι,"Λεμονάτο κοτόπουλο (210γρ), Άγριο ρύζι (240γρ)","11,90€","12,90€","1,00€"
264-10,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (210γρ), Πουρές καρότου (120γρ)","13,90€","13,40€","-0,50€"
264-12,Ψαρονέφρι με πουρέ καρότου και gravy sauce,"Ψαρονέφρι (210γρ), Πουρές καρότου (220γρ)","14,50€","14,40€","-0,10€"
271-10,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας και αρακά (150γρ)","12,50€","11,40€","-1,10€"
271-11,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας και αρακά (200γρ)","12,90€","11,90€","-1,00€"
271-12,Φιλέτο κοτόπουλο ψητό με πουρέ πατάτας και αρακά,"Φιλέτο κοτόπουλο (210γρ), Πουρές πατάτας και αρακά (250γρ)","13,50€","12,40€","-1,10€"
274-10,"Ρεβίθια κοκκινιστά με χόρτα, κρέμα λεμόνι και φέτα light","Ρεβίθια κοκκινιστά (500γρ), Φέτα light (90γρ)","9,50€","9,40€","-0,10€"
