Κωδικός,Παλιός τίτλος,Νέος τίτλος
282,"Πράσινη σαλάτα με μανούρι, μανιτάρια, και αχλάδι","Πράσινη σαλάτα με μανούρι, μανιτάρια και αχλάδι"
283,"Πράσινη σαλάτα με αντίδια, αβοκάντο, μανταρίνι","Πράσινη σαλάτα με μοτσαρέλα, αντίδια, αβοκάντο και μανταρίνι"
285,Wrap ολικής με γραβιέρα και αβοκάντο,"Wrap ολικής με γραβιέρα light, αβοκάντο και chutney κρεμμυδιού"
287,Wrap με κοτόπουλο και spicy σάλτσα φυστικοβούτυρου,Wrap ολικής με κοτόπουλο και spicy σάλτσα φυστικοβούτυρου
290,Χωριάτικη σαλάτα με παξιμαδάκια χαρουπιού,"Χωριάτικη σαλάτα με ντοματίνια, αγγούρι, φέτα, πράσινη πιπεριά, κόκκινο κρεμμύδι, ελιές, κρίταμο, ρίγανη, παξιμαδάκια χαρουπιού και ελαιόλαδο"
291,Μοσχαρίσια κεφτεδάκια και sauce γιαουρτιού,Μοσχαρίσια κεφτεδάκια και sauce γιαουρτιού με φρέσκο κρεμμύδι και μαϊντανό
297,Lemon Chicken Bowl,"Lemon Chicken Bowl με ρύζι basmati, πράσινη σαλάτα, κοτόπουλο σχάρας, broccoli coleslaw, χούμους,
ντοματίνια, αγγούρι και dressing λεμόνι – ελαιόλαδο"
298,Harissa Chicken Bowl,"Harissa Chicken Bowl με ρύζι basmati, πράσινη σαλάτα, κοτόπουλο harissa, παντζάρι με ανθότυρο, καλαμπόκι, ντοματίνια και olive oil lemon dressing"
299,Mediterranean Chicken Bowl,"Mediterranean Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, ελιές φιλέτο, χούμους, αγγούρι, ντοματίνια, φέτα light και olive oil lemon dressing"
300,Teriyaki Salmon Bowl,"Teriyaki Salmon Bowl με καστανό ρύζι, σολομός σχάρας, guacamole, αγγούρι, καλαμπόκι, σουσάμι και sesame-teriyaki dressing"
301,Steakhouse Bowl,"Mango Salmon Bowl με ρύζι basmati, σολομός σχάρας, πράσινη σαλάτα, κάσιους, guacamole, ντοματίνια, πίκλα κόκκινο λάχανο και mango-lime dressing"
302,Tuna Mediterranean Bowl,"Steak Protein Bowl με ρύζι basmati, μοσχάρι σχάρας, πράσινη σαλάτα, χούμους, ντοματίνια, broccoli coleslaw, κόκκινο λάχανο πίκλα και dressing βαλσάμικο"
303,Vegan Power Bowl,"Steakhouse Bowl με καστανό ρύζι, μοσχάρι σχάρας, πράσινη σαλάτα, feta chili cream, αγγούρι, crispy onion και garlic aioli dressing"
304,Avocado Chicken Bowl,"Tuna Mediterranean Bowl με ρύζι basmati, τόνος, πράσινη σαλάτα, χούμους, κάπαρη, ντοματίνια, ελιές φιλέτο και olive oil lemon dressing"
305,Green Fitness Bowl,"Falafel Vegan Bowl ρύζι basmati, falafel φούρνου, τόφου, πράσινη σαλάτα, χούμους, αγγούρι, πίκλα κόκκινο λάχανο, broccolli vegan coleslaw και tahini-soy dressing"
306,Mango Salmon Bowl,"Vegan Power Bowl με καστανό ρύζι, ψητά λαχανικά, πράσινη σαλάτα, μπρόκολο, χούμους, αβοκάντο,
ντοματίνια και olive oil lemon dressing"
307,Steak Protein Bowl,"Sweet Potato Chicken Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, γλυκοπατάτα ψητή, χούμους, αγγούρι, φιστίκι και yogurt dressing"
308,Falafel Vegan Bowl,"Avocado Chicken Bowl με καστανό ρύζι, κοτόπουλο σχάρας, πράσινη σαλάτα, guacamole, κολοκυθόσπορο, ντοματίνια, αγγούρι και mango-lime dressing"
309,Sweet Potato Chicken Bowl,"Protein Mix Bowl με ρύζι basmati, κοτόπουλο σχάρας, πράσινη σαλάτα, τόνος, χούμους, ντοματίνια, αγγούρι, κόλιανδρο, πίκλα κόκκινο κρεμμύδι και olive oil lemon dressing"
31,Sugar free Cake πορτοκαλιού,Sugar free cake πορτοκαλιού
310,Protein Mix Bowl,"Green Fitness Bowl με πράσινη σαλάτα, φαγόπυρο, κινόα, κοτόπουλο σχάρας, αβοκάντο,
αγγούρι, φράουλες, ντοματίνια και olive oil lemon dressing"
32,Wrap ολικής με φιλέτο κοτόπουλο και αβοκάντο,"Wrap ολικής με φιλέτο κοτόπουλο, αβοκάντο και κρέμα μουστάρδας"
34,Super Breakfast με καρύδα και σοκολάτα,"Super Breakfast με βρώμη, μαύρη σοκολάτας και ινδοκάρυδο"
38,Salmon Philly Sandwich,Salmon Philly Sandwich με ψωμί ολικής
